Ministry/Sector,Agency/Dept,Service Name,Description,Simple Service Name,Simple Description,Service Category,Access Method,Online Platform,Required Documents,Processing Time,Cost,Eligibility,Contact/Link,Deep Link to Service,Has Online Form?,Form Type,Form URL,Has PDF Form?,PDF Form URL,Form Submission Method,Notes/Research Status
Finance,FIRS,Tax Payment,"Pay taxes (income, VAT, etc) online",Pay your taxes,Send your tax money to the government.,Payment,Online,"epayment.firs.gov.ng (Remita, Quickteller)","TIN, payment amount",Instant,Varies by tax type,Taxpayers,epayment.firs.gov.ng,https://epayment.firs.gov.ng/,Yes,Web Form (Payment Gateway),https://epayment.firs.gov.ng/,No,,Online Payment Gateway,Direct online payment via FIRS portal
Finance,FIRS,Tax Clearance Certificate,Obtain certificate confirming tax compliance,Get proof you paid your taxes,Get an official document showing you don't owe any back taxes.,Certification,Online,tcc.firs.gov.ng,"TIN, tax payment proof",1-5 days,Free,Registered taxpayers,tcc.firs.gov.ng,https://tcc.firs.gov.ng,Yes,Web Form,https://tcc.firs.gov.ng/taxpayer/login,No,,Online - Direct,✅ Verified
Finance,FIRS,TIN Verification,Verify validity of a TIN number,Check if a tax number is valid,Verify someone's tax registration number.,Information,Online,verify.firs.gov.ng,TIN number,Real-time,Free,Anyone,verify.firs.gov.ng,,,,,,,,
Finance,FIRS,VAT Registration,Register for Value Added Tax compliance,Register for sales tax,Officially register your business for value added tax (VAT) compliance.,Registration,Online,ecitizen.firs.gov.ng,"TIN, business registration, turnover docs",2-5 days,Free,Businesses with turnover ₦25m+,ecitizen.firs.gov.ng,https://www.firs.gov.ng/services/vat/registration,Yes,Web Form,https://taxpromax.firs.gov.ng/vat-registration,Yes,https://www.firs.gov.ng/downloads/vat-form.pdf,Online & Email,✅ Verified
Finance,CAC,Business Name Registration,Register sole proprietorship/partnership business name,Register your business name,Tell the government your business name so no one else can use it.,Registration,Online,pre.cac.gov.ng/login,"ID, business description, address",1-3 days,"₦11,000-₦20,000",Individuals,pre.cac.gov.ng/login,https://pre.cac.gov.ng/login,Yes,Web Form,https://pre.cac.gov.ng/login,No,,Online - Direct,✅ Verified
Finance,CAC,Company Incorporation,Register private or public limited company,Register your company officially,Create a legal company so you can sign contracts and operate as a business.,Registration,Online,pre.cac.gov.ng/login,"Directors' info, shareholders, MOA, AoA",3-14 days,"₦50,000-₦500,000",Groups/Investors,pre.cac.gov.ng/login,https://pre.cac.gov.ng/incorporation,Yes,Web Form,https://pre.cac.gov.ng/incorporation/apply,No,,Online - Direct,✅ Verified
Finance,CAC,Company Name Reservation,Reserve company name before registration,Reserve a company name,Hold a company name while you prepare your full registration.,Registration,Online,pre.cac.gov.ng/login,Proposed company name,Instant,"₦5,000-₦10,000",Anyone,pre.cac.gov.ng/login,,,,,,,,
Finance,CAC,Registered Trustees Registration,Register NGO/Trust organization,Get your registered trustees registration,Register to officially get registered trustees registration.,Registration,Online,pre.cac.gov.ng/login,"Board members, constitution, objectives",5-7 days,"₦50,000-₦100,000",NGOs/Charities,pre.cac.gov.ng/login,,,,,,,,
Finance,CAC,Certificate of Incorporation Retrieval,Download digital copy of incorporation certificate,Find information about certificate of incorporation retrieval,Learn about certificate of incorporation retrieval and how it can help you.,Information,Online,pre.cac.gov.ng/login,CAC registration number,Instant,Free,Registered companies,pre.cac.gov.ng/login,,,,,,,,
Finance,CAC,Business Name Renewal,Renew business name registration every 3 years,Business Name Renewal,Follow the government process to get business name renewal.,Compliance,Online,pre.cac.gov.ng/login,"Current registration, new documents",3-5 days,"₦5,000-₦10,000",Business name holders,pre.cac.gov.ng/login,,,,,,,,
Finance,NCS,Import/Export Permits,Obtain permits for importing/exporting goods,Get a import/export permits,Get official permission from the government for import/export permits.,Licensing,Online,NICIS Portal,"Business registration, product details, destination",2-7 days,"₦10,000-₦50,000",Importers/Exporters,www.customs.gov.ng,,,,,,,,
Finance,NCS,Customs Duty Payment,Pay customs duties for imported goods,Pay your customs duty payment,Pay your customs duty payment through the government payment system.,Payment,Online,NICIS Portal,"Bill of lading, invoice, duty notice",Same day,Varies by goods,Importers,www.customs.gov.ng,,,,,,,,
Finance,NCS,Goods Clearance,Clear goods through customs for import/export,Goods Clearance,Follow the government process to get goods clearance.,Compliance,Online,NICIS Portal,"Import docs, customs forms, proof of duty",2-7 days,Duty payment,Traders,www.customs.gov.ng,,,,,,,,
Finance,CBN,Bank Account Regulations Info,Get information on banking regulations,Find information about bank account regulations info,Learn about bank account regulations info and how it can help you.,Information,Online,www.cbn.gov.ng,None,Instant,Free,Public,www.cbn.gov.ng,,,,,,,,
Finance,CBN,Money Transfer Oversight,File complaints about money transfer services,Report Money Transfer Oversight Problem,Tell the government about your money transfer oversight problem. It is free.,Complaint,Online/Offline,www.cbn.gov.ng,"Transaction details, evidence",5-10 days,Free,Customers,www.cbn.gov.ng,,,,,,,,
Education,JAMB,UTME Registration,Register for University Tertiary Matriculation Examination,Register for the university exam,Sign up to take the test required for university admission.,Examination,Online,www.jamb.org.ng,"NIN, O-level results, school details",Varies (exam period-dependent),"₦5,000-₦15,000",Secondary school leavers,www.jamb.org.ng,https://www.jamb.org.ng/Register,Yes,Web Form,https://www.jamb.org.ng/Register,No,,Online - Direct,✅ Verified
Education,JAMB,UTME Result Checking,Check UTME examination results online,Find information about utme result checking,Learn about utme result checking and how it can help you.,Information,Online,www.jamb.org.ng,"Registration number, NIN",Instant,Free,UTME candidates,www.jamb.org.ng,https://www.jamb.org.ng/CheckResult,Yes,Web Form,https://www.jamb.org.ng/CheckResult/Search,No,,Online - Direct,✅
Education,JAMB,JAMB Post-UTME Registration,Register for university post-UTME screening,Register for the university exam,Sign up to take the test required for university admission.,Examination,Online,University portals + JAMB,"UTME score, registration",Varies,"₦5,000-₦10,000",UTME candidates,www.jamb.org.ng,https://www.jamb.org.ng/PostUTME,Yes,Web Form,https://www.jamb.org.ng/PostUTME/Register,No,,Online - Direct,✅
Education,JAMB,Certificate of Eligibility,Obtain official certificate confirming exam eligibility,Get Certificate of Eligibility Certificate,Get an official document proving you've completed of eligibility.,Certification,Online,www.jamb.org.ng,Exam completion proof,3-5 days,"Free/₦1,000",Exam takers,www.jamb.org.ng,,,,,,,,
Education,NECO,SSCE Registration,Register for Senior School Certificate Examination,Register for secondary school exams,Sign up to take the exams needed to graduate from secondary school.,Examination,Online/Offline,Schools + www.neco.gov.ng,"School enrollment, birth cert, ID",2-4 weeks before exam,"₦8,000-₦15,000",Secondary school students,www.neco.gov.ng,https://neco.gov.ng/exams,Yes,Web Form + PDF,https://neco.gov.ng/exams,Yes,https://neco.gov.ng/downloads,Online & Offline,✅ Verified
Education,NECO,SSCE Result Checking,Check SSCE results online or via SMS,Find information about ssce result checking,Learn about ssce result checking and how it can help you.,Information,Online/USSD,www.neco.gov.ng or SMS,Exam number,Instant,Free/₦100-₦500,Exam candidates,www.neco.gov.ng,,,,,,,,
Education,NECO,Certificate Issuance,Receive official SSCE certificate,Get Certificate Issuance Certificate,Get an official document proving you've completed issuance.,Certification,Offline,School/NECO offices,Exam completion,2-4 weeks post-exam,Free,Exam passers,www.neco.gov.ng,,,,,,,,
Education,WAEC,WASSCE Registration,Register for West African Senior School Certificate Exam,Register for secondary school exams,Sign up to take the exams needed to graduate from secondary school.,Examination,Online/Offline,Schools + www.waeconline.org.ng,"School enrollment, supporting docs",Before exam period,"₦10,000-₦20,000",Senior secondary students,www.waeconline.org.ng,https://registration.waecdirect.org,Yes,Web Form,https://registration.waecdirect.org/Register/Start,No,,Online - Direct,✅ Verified
Education,WAEC,WASSCE Result Checking,Check exam results online,Find information about wassce result checking,Learn about wassce result checking and how it can help you.,Information,Online,www.waeconline.org.ng,Exam number,Instant,Free/₦500,Candidates,www.waeconline.org.ng,,,,,,,,
Education,NUC,University Accreditation Verification,Verify if university is accredited by NUC,Find information about university accreditation verification,Learn about university accreditation verification and how it can help you.,Information,Online,www.nuc.edu.ng,University name,Instant,Free,Students/Parents,www.nuc.edu.ng,,,,,,,,
Education,NUC,Programme Ranking Check,Check rankings of university programs,Find information about programme ranking check,Learn about programme ranking check and how it can help you.,Information,Online,www.nuc.edu.ng,None,Instant,Free,Public,www.nuc.edu.ng,,,,,,,,
Health,NAFDAC,Product Registration (Drugs),Register pharmaceutical products for sale in Nigeria,Get your product registration (drugs),Get official permission from the government for product registration (drugs).,Licensing,Online/Offline,NAFDAC office/portal,"Drug samples, test reports, manufacturing docs",30-90 days,"₦100,000-₦500,000",Pharmaceutical companies,www.nafdac.gov.ng,,,,,,,,
Health,NAFDAC,Cosmetics Product Registration,Register cosmetics for market approval,Get your cosmetics product registration,Get official permission from the government for cosmetics product registration.,Licensing,Online/Offline,NAFDAC office,"Product samples, composition, test reports",21-60 days,"₦50,000-₦200,000",Cosmetics manufacturers,www.nafdac.gov.ng,,,,,,,,
Health,NAFDAC,Food Product Registration,Register food products for sale,Get your food product registration,Get official permission from the government for food product registration.,Licensing,Online/Offline,NAFDAC office,"Product samples, manufacturing process, labels",30-60 days,"₦100,000-₦300,000",Food producers,www.nafdac.gov.ng,https://nafdac.gov.ng/regulatory-resources/application-forms/,Yes,Web Form + PDF,https://nafdac.gov.ng/regulatory-resources/application-forms/,Yes,https://nafdac.gov.ng/wp-content/uploads/Files/Resources/Guidelines/,Online Upload + Offline,✅ Verified
Health,NAFDAC,Product Complaint/Adverse Report,Report counterfeit or unsafe products,Report Product Complaint/Adverse Report Problem,Tell the government about your product complaint/adverse report problem. It is free.,Complaint,Online/Phone,www.nafdac.gov.ng,"Product details, photos, evidence",5-15 days,Free,Anyone,www.nafdac.gov.ng,,,,,,,,
Health,NHIS,Health Insurance Enrollment,Enroll in National Health Insurance Scheme,Get your health insurance enrollment,Register to officially get health insurance enrollment.,Registration,Online/Offline,NHIS offices/designated centers,"ID, employment letter, family details",1-3 weeks,"₦5,000-₦50,000 annually",All Nigerians,www.nhis.gov.ng,https://www.healthimplant.gov.ng/enroll,Partial,PDF Form + Online,https://www.healthimplant.gov.ng/enrollment,Yes,https://www.healthimplant.gov.ng/forms,Online Portal or Paper at Office,NHIA system - multiple pathways
Health,NHIS,Insurance Card Issuance,Obtain NHIS card for healthcare access,Get Insurance Card Issuance Certificate,Get an official document proving you've completed insurance  issuance.,Certification,Offline,NHIS Centers,"Enrollment proof, photos",2-4 weeks,Free,Enrolled members,www.nhis.gov.ng,,,,,,,,
Health,NHIS,Healthcare Provider Search,Find NHIS-accredited hospitals and clinics,Find information about healthcare provider search,Learn about healthcare provider search and how it can help you.,Information,Online,www.nhis.gov.ng,Location/specialty,Instant,Free,Insurance members,www.nhis.gov.ng,,,,,,,,
Communications,NCC,SIM Registration Verification,Verify SIM card registration with NCC,Find information about sim registration verification,Learn about sim registration verification and how it can help you.,Information,Online/USSD,www.ncc.gov.ng or *566#,Phone number,Instant,Free,SIM holders,www.ncc.gov.ng,,,,,,,,
Communications,NCC,Network Complaint Filing,File complaints against telecom operators,Report Network Complaint Filing Problem,Tell the government about your network complaint filing problem. It is free.,Complaint,Online/Phone,www.ncc.gov.ng,"Account details, incident description",5-15 days,Free,Anyone,www.ncc.gov.ng,,,,,,,,
Communications,NCC,Consumer Protection Inquiry,Get info on consumer rights in telecommunications,Find information about consumer protection inquiry,Learn about consumer protection inquiry and how it can help you.,Information,Online,www.ncc.gov.ng,None,Instant,Free,Public,www.ncc.gov.ng,,,,,,,,
Transport,FRSC,Vehicle Tracking Service,Track vehicle location and status,Find information about vehicle tracking service,Learn about vehicle tracking service and how it can help you.,Information,Online,FRSC portal,Vehicle registration,Real-time,"Free/₦500-₦1,000/month",Vehicle owners,www.frsc.gov.ng,,,,,,,,
Agriculture,NAQS,Agricultural Import Permit,Get permit for importing agricultural products,Get a agricultural import permit,Get official permission from the government for agricultural import permit.,Licensing,Online/Offline,NAQS office,"Product details, origin, destination",5-10 days,"₦5,000-₦20,000",Importers,www.naqs.gov.ng,,,,,,,,
Environment,NESREA,Environmental Impact Assessment,Get EIA approval for projects,Get Environmental Impact Assessment Certificate,Get an official document proving you've completed environmental impact assessment.,Certification,Offline,NESREA office,"Project plans, environmental study, photos",30-60 days,"₦200,000-₦1,000,000+",Project developers,www.nesrea.gov.ng,https://www.nesrea.gov.ng/eia,Partial,PDF Form + Assessment,https://www.nesrea.gov.ng/apply-eia,Yes,https://www.nesrea.gov.ng/forms,Application + Technical Review,Requires NESREA consultant
Environment,NESREA,Pollution Complaint Filing,Report environmental pollution incidents,Report Pollution Complaint Filing Problem,Tell the government about your pollution complaint filing problem. It is free.,Complaint,Online/Phone,www.nesrea.gov.ng,"Location, photos, description",5-10 days,Free,Anyone,www.nesrea.gov.ng,,,,,,,,
Justice,EFCC,Fraud Complaint Filing,Report financial fraud and corruption,Report Someone Stealing Your Money,Report if a person or company stole money from you.,Complaint,Online/Phone,www.efcc.gov.ng,"Incident details, evidence, contact info",Processing time varies,Free,Anyone,www.efcc.gov.ng,,,,,,,,
Justice,ICPC,Corruption Report Submission,Report corruption cases to anti-corruption agency,Report Corruption Report Submission Problem,Tell the government about your corruption report submission problem. It is free.,Complaint,Online/Hotline,www.icpc.gov.ng,"Details, evidence, reporter info",Varies,Free & Confidential,Anyone,www.icpc.gov.ng,,,,,,,,
Labour,ITF,Skills Training Enrollment,Enroll in vocational training programs,Learn Skills Training Enrollment,Take a free training class to learn skills training enrollment.,Training,Online/Offline,ITF Centers nationwide,"ID, education certs, application form",Varies by program,Free/Subsidized,Nigerians,www.itf.gov.ng,,,,,,,,
Labour,ITF,Skills Certification,Obtain recognized skill certification,Get Skills Certification Certificate,Get an official document proving you've completed skills certification.,Certification,Offline,ITF Centers,"Training completion, assessment",2-4 weeks,"₦5,000-₦20,000",Training participants,www.itf.gov.ng,,,,,,,,
Housing,FHA,Land Allocation Application,Apply for residential land allocation in FHA estates,Get your land allocation,Register to officially get land allocation application.,Registration,Offline,FHA Offices,"ID, proof of income, address, employment letter",21-60 days,"₦500,000-₦2,000,000",Nigerian citizens/organizations,www.fha.gov.ng,,,,,,,,
Housing,FHA,Residential Property Purchase,Purchase residential property from FHA estates,Get your residential property purchase,Get official identification from the government.,Registration,Offline,FHA Offices,"Payment proof, ID, occupation details",30-90 days,Property-dependent pricing,Qualified buyers,www.fha.gov.ng,,,,,,,,
Housing,FHA,Estate Maintenance Fee Payment,Pay annual maintenance fees for FHA estate properties,Pay your estate maintenance fee payment,Pay your estate maintenance fee payment through the government payment system.,Payment,Online/Offline,FHA portal/offices,Property reference number,Immediate,Varies by estate,Property owners,www.fha.gov.ng,,,,,,,,
Housing,FHA,Property Valuation Service,Get official property valuation for FHA properties,Find information about property valuation service,Learn about property valuation service and how it can help you.,Information,Offline,FHA Offices,"Property details, ownership proof",7-14 days,"₦50,000-₦200,000",Property owners,www.fha.gov.ng,,,,,,,,
Housing,FHA,Housing Scheme Enrollment,Enroll in government-assisted housing schemes,Get your housing scheme enrollment,Register to officially get housing scheme enrollment.,Registration,Online/Offline,FHA + Ministry portals,"Employment letter, bank statement, ID",30-90 days,Program-dependent,Working Nigerians,www.fha.gov.ng,,,,,,,,
Housing,FMBN,Mortgage Application,Apply for affordable mortgage from Federal Mortgage Bank,Get your mortgage,Get official permission from the government for mortgage application.,Licensing,Online/Offline,FMBN branches,"Salary history, employment letter, savings proof, ID",14-30 days,Varies by loan,Employed Nigerians,www.fmbn.gov.ng,,,,,,,,
Housing,FMBN,Mortgage Refinancing,Refinance existing mortgage with better terms,Get your mortgage refinancing,Get official permission from the government for mortgage refinancing.,Licensing,Online/Offline,FMBN branches,"Current mortgage docs, ID, income proof",14-30 days,Varies,Existing mortgage holders,www.fmbn.gov.ng,,,,,,,,
Housing,FMBN,Housing Loan Enquiry,Check eligibility for housing loans,Find information about housing loan enquiry,Learn about housing loan enquiry and how it can help you.,Information,Online,www.fmbn.gov.ng,ID number,Instant,Free,Interested Nigerians,www.fmbn.gov.ng,,,,,,,,
Power,NERC,Electricity Tariff Information,Get current electricity tariffs by region and band,Find information about electricity tariff information,Learn about electricity tariff information and how it can help you.,Information,Online,www.nerc.gov.ng,None,Instant,Free,Public,www.nerc.gov.ng,,,,,,,,
Power,NERC,Consumer Complaint Filing,File complaints against electricity distribution companies,Complain About Bad Product,Report a store or company that sold you something bad.,Complaint,Online/Phone,www.nerc.gov.ng or NERC Forum Offices,"Account details, complaint description",5-15 days,Free,Electricity customers,www.nerc.gov.ng,,,,,,,,
Power,NERC,Consumer Rights Information,Get information on consumer rights and obligations,Find information about consumer rights information,Learn about consumer rights information and how it can help you.,Information,Online,www.nerc.gov.ng,None,Instant,Free,Public,www.nerc.gov.ng,,,,,,,,
Power,NERC,Net Metering Application,Register renewable energy prosumer with NERC,Get your net metering,Register to officially get net metering application.,Registration,Online,www.nerc.gov.ng,"Solar system details, technical drawings, ID",7-14 days,Registration fee varies,Prosumers with solar,www.nerc.gov.ng,,,,,,,,
Power,REA,Rural Electrification Fund,Access subsidized electricity connection in rural areas,Get your rural electrification fund,Get official permission from the government for rural electrification fund.,Licensing,Offline,REA/NEPA offices,"Community survey, application, land rights proof",30-90 days,Subsidized,Rural communities,www.rea.gov.ng,,,,,,,,
Power,REA,Solar Off-Grid System Access,Get renewable energy systems for off-grid areas,Get your solar off-grid system access,Get official permission from the government for solar off-grid system access.,Licensing,Offline,REA offices,"Location details, community agreement",60-120 days,Subsidized,Off-grid communities,www.rea.gov.ng,,,,,,,,
Transport,NRC,Rail Ticket Booking,Book train tickets for travel across Nigeria,Pay your rail ticket booking,Pay your rail ticket booking through the government payment system.,Payment,Online,www.nigerianrailway.gov.ng,"ID, travel destination",Instant booking,Varies by route,All passengers,www.nigerianrailway.gov.ng,,,,,,,,
Transport,NRC,Freight Service Inquiry,Get information on freight transport services,Find information about freight service inquiry,Learn about freight service inquiry and how it can help you.,Information,Online/Phone,www.nigerianrailway.gov.ng,Shipment details,Real-time,Free inquiry,Shippers,www.nigerianrailway.gov.ng,,,,,,,,
Transport,NRC,Station Information,Get information on train stations and schedules,Find information about station information,Learn about station information and how it can help you.,Information,Online,www.nigerianrailway.gov.ng,None,Instant,Free,Public,www.nigerianrailway.gov.ng,,,,,,,,
Aviation,FAAN,Airport Service Complaint,File complaints about airport services and facilities,Report Airport Service Complaint Problem,Tell the government about your airport service complaint problem. It is free.,Complaint,Online/Phone,www.faan.aero,"Service details, evidence",5-10 days,Free,Airport users,www.faan.aero,,,,,,,,
Aviation,FAAN,Flight Information,Get real-time flight information and schedules,Find information about flight information,Learn about flight information and how it can help you.,Information,Online,www.faan.aero,Flight number,Real-time,Free,Passengers,www.faan.aero,,,,,,,,
Aviation,FAAN,Lost Baggage Claim,File claim for lost or delayed luggage,Report Lost Baggage Claim Problem,Tell the government about your lost baggage claim problem. It is free.,Complaint,Online/Offline,FAAN offices/airport,"Baggage details, ticket, ID",7-30 days,Free filing,Passengers,www.faan.aero,,,,,,,,
Aviation,NCAA,Aircraft Maintenance Certification,Get certification for aircraft maintenance facilities,Get Aircraft Maintenance Certification Certificate,Get an official document proving you've completed aircraft maintenance certification.,Certification,Offline,NCAA offices,"Facility details, equipment list, staff credentials",30-60 days,"₦500,000-₦2,000,000",Airlines/maintenance providers,www.ncaa.gov.ng,,,,,,,,
Aviation,NCAA,Airline Safety Complaint,Report safety issues in airline operations,Report Airline Safety Complaint Problem,Tell the government about your airline safety complaint problem. It is free.,Complaint,Online/Phone,www.ncaa.gov.ng,"Airline name, incident details, evidence",Processing varies,Free,Anyone,www.ncaa.gov.ng,,,,,,,,
Communications,NITDA,IT Skill Certification,Obtain certification in ICT skills from NITDA,Get IT Skill Certification Certificate,Get an official document proving you've completed it skill certification.,Certification,Online/Offline,NITDA centers,"Educational background, experience",8-12 weeks,"₦50,000-₦200,000",Nigerians seeking skills,www.nitda.gov.ng,,,,,,,,
Communications,NITDA,Digital Literacy Program Enrollment,Enroll in digital literacy training programs,Learn Digital Literacy Program Enrollment,Take a free training class to learn digital literacy program enrollment.,Training,Online/Offline,NITDA centers,"ID, basic education",4-8 weeks,Free/Subsidized,All Nigerians,www.nitda.gov.ng,,,,,,,,
Communications,NITDA,Tech Innovation Support,Get support for tech startup development,Find information about tech innovation support,Learn about tech innovation support and how it can help you.,Information,Online,www.nitda.gov.ng,"Business plan, team info",Ongoing,Free consultation,Entrepreneurs,www.nitda.gov.ng,,,,,,,,
Communications,NIPOST,Postal Service Inquiry,Get information on postal services nationwide,Find information about postal service inquiry,Learn about postal service inquiry and how it can help you.,Information,Online/Phone,www.nipost.gov.ng,None,Instant,Free,Public,www.nipost.gov.ng,,,,,,,,
Communications,NIPOST,Parcel Tracking,Track parcels and letters online,Find information about parcel tracking,Learn about parcel tracking and how it can help you.,Information,Online,www.nipost.gov.ng,Tracking number,Real-time,Free,Mailers,www.nipost.gov.ng,,,,,,,,
Communications,NIPOST,Money Transfer Service,Send money via postal money order,Pay your money transfer service,Pay your money transfer service through the government payment system.,Payment,Offline,Post offices nationwide,"Recipient details, payment",2-5 days,Varies by amount,Public,www.nipost.gov.ng,,,,,,,,
